topology,camouflage,seed,n_nodes,n_edges,n_ring_edges,model,auc,ap,ring_recall
clique,0.5,3,848,2004,168,gcn,0.9541666666666667,0.47110808944142274,0.5
clique,0.5,3,848,2004,168,sage,0.8479166666666667,0.16976641919170654,0.3333333333333333
clique,0.5,3,848,2004,168,mlp,0.5791666666666666,0.06898544634940273,0.0
clique,0.5,4,848,2004,168,gcn,0.9736111111111111,0.6246059009216904,0.8333333333333334
clique,0.5,4,848,2004,168,sage,0.95625,0.5367700817700818,0.6666666666666666
clique,0.5,4,848,2004,168,mlp,0.5534722222222223,0.06634952508446484,0.0
clique,1.0,0,848,2148,168,gcn,0.9347222222222222,0.37064765300059416,0.5
clique,1.0,0,848,2148,168,sage,0.8506944444444444,0.2077106920856921,0.0
clique,1.0,0,848,2148,168,mlp,0.7055555555555555,0.1848975976713203,0.0
clique,1.0,1,848,2148,168,gcn,0.9451388888888889,0.46780567027693465,0.5
clique,1.0,1,848,2148,168,sage,0.617361111111111,0.15123911791898137,0.0
clique,1.0,1,848,2148,168,mlp,0.6854166666666667,0.09484194097312482,0.0
clique,1.0,2,848,2148,168,gcn,0.8576388888888888,0.3738487160371613,0.3333333333333333
clique,1.0,2,848,2148,168,sage,0.7805555555555554,0.2691359371660086,0.0
clique,1.0,2,848,2148,168,mlp,0.6215277777777778,0.08526939925432103,0.0
clique,1.0,3,848,2148,168,gcn,0.9013888888888888,0.28564299361400813,0.3333333333333333
clique,1.0,3,848,2148,168,sage,0.7374999999999999,0.12203669042779873,0.0
clique,1.0,3,848,2148,168,mlp,0.6187499999999999,0.09733038939138636,0.0
clique,1.0,4,848,2148,168,gcn,0.8743055555555556,0.33419626915595346,0.3333333333333333
clique,1.0,4,848,2148,168,sage,0.7576388888888889,0.12988095961850005,0.0
clique,1.0,4,848,2148,168,mlp,0.3840277777777778,0.06287311800386554,0.0
clique,2.0,0,848,2484,168,gcn,0.7972222222222223,0.15232691881610694,0.0
clique,2.0,0,848,2484,168,sage,0.6583333333333333,0.10415754916861035,0.0
clique,2.0,0,848,2484,168,mlp,0.5166666666666666,0.07029001671224332,0.0
clique,2.0,1,848,2484,168,gcn,0.9020833333333333,0.29209698480531815,0.16666666666666666
clique,2.0,1,848,2484,168,sage,0.5972222222222222,0.09400953760455776,0.0
clique,2.0,1,848,2484,168,mlp,0.5159722222222223,0.17716508495927558,0.0
clique,2.0,2,848,2484,168,gcn,0.8645833333333334,0.26895552112943416,0.16666666666666666
clique,2.0,2,848,2484,168,sage,0.6222222222222222,0.07895745923667999,0.0
clique,2.0,2,848,2484,168,mlp,0.5430555555555555,0.07003131285876554,0.0
clique,2.0,3,848,2484,168,gcn,0.8944444444444445,0.2714278080021438,0.0
clique,2.0,3,848,2484,168,sage,0.7361111111111109,0.11628595863898677,0.0
clique,2.0,3,848,2484,168,mlp,0.6097222222222222,0.08675436462633954,0.0
clique,2.0,4,848,2484,168,gcn,0.9465277777777777,0.4791605135172387,0.16666666666666666
clique,2.0,4,848,2484,168,sage,0.4125,0.04807734690208353,0.0
clique,2.0,4,848,2484,168,mlp,0.5965277777777778,0.07429283551638702,0.0
star,0.0,0,848,1686,42,gcn,0.8520833333333333,0.4331114858637794,0.6666666666666666
star,0.0,0,848,1686,42,sage,0.7034722222222222,0.35959960683056286,0.5
star,0.0,0,848,1686,42,mlp,0.4409722222222222,0.0841520331719749,0.0
star,0.0,1,848,1686,42,gcn,0.9576388888888889,0.5265306889039141,0.3333333333333333
star,0.0,1,848,1686,42,sage,0.8388888888888888,0.3829149336502278,0.3333333333333333
star,0.0,1,848,1686,42,mlp,0.4895833333333333,0.054184818392215346,0.0
star,0.0,2,848,1686,42,gcn,0.888888888888889,0.3225674522067524,0.0
star,0.0,2,848,1686,42,sage,0.5472222222222222,0.1864900428063056,0.0
star,0.0,2,848,1686,42,mlp,0.30972222222222223,0.041507415560144596,0.0
star,0.0,3,848,1686,42,gcn,0.9638888888888888,0.8453423120089787,1.0
star,0.0,3,848,1686,42,sage,0.6701388888888888,0.2051095086942451,0.16666666666666666
star,0.0,3,848,1686,42,mlp,0.6305555555555555,0.23344744033610454,0.0
