topology,camouflage,seed,n_nodes,n_edges,n_ring_edges,model,explainer,node,precision,recall,f1,random_expectation,lift,n_candidates,n_relevant,k
clique,0.0,0,848,1812,168,gcn,grad,845,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5185185185185185,1.0331632653061225,54,28,28
clique,0.0,0,848,1812,168,gcn,random,845,0.5,0.5,0.5,0.5185185185185185,0.9642857142857143,54,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,812,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.6829268292682927,1.2028061224489794,41,28,28
clique,0.0,0,848,1812,168,gcn,grad,812,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6829268292682927,0.9413265306122449,41,28,28
clique,0.0,0,848,1812,168,gcn,random,812,0.75,0.75,0.75,0.6829268292682927,1.0982142857142856,41,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,825,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.6666666666666666,0.8035714285714286,42,28,28
clique,0.0,0,848,1812,168,gcn,grad,825,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6666666666666666,0.9107142857142857,42,28,28
clique,0.0,0,848,1812,168,gcn,random,825,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6666666666666666,0.9642857142857144,42,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,811,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6086956521739131,1.290816326530612,46,28,28
clique,0.0,0,848,1812,168,gcn,grad,811,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6086956521739131,0.9387755102040816,46,28,28
clique,0.0,0,848,1812,168,gcn,random,811,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6086956521739131,0.9974489795918366,46,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,843,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.56,1.1479591836734693,50,28,28
clique,0.0,0,848,1812,168,sage,grad,843,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.56,1.020408163265306,50,28,28
clique,0.0,0,848,1812,168,sage,random,843,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.56,0.9566326530612244,50,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,803,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.6666666666666666,1.2321428571428572,42,28,28
clique,0.0,0,848,1812,168,sage,grad,803,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6666666666666666,1.1785714285714286,42,28,28
clique,0.0,0,848,1812,168,sage,random,803,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6666666666666666,1.017857142857143,42,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,841,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.7,0.8673469387755102,40,28,28
clique,0.0,0,848,1812,168,sage,grad,841,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7,0.9183673469387756,40,28,28
clique,0.0,0,848,1812,168,sage,random,841,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7,1.1224489795918369,40,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,840,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6666666666666666,1.1785714285714286,42,28,28
clique,0.0,0,848,1812,168,sage,grad,840,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6666666666666666,0.9642857142857144,42,28,28
clique,0.0,0,848,1812,168,sage,random,840,0.75,0.75,0.75,0.6666666666666666,1.125,42,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,808,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6363636363636364,1.066326530612245,44,28,28
clique,0.0,0,848,1812,168,sage,grad,808,0.75,0.75,0.75,0.6363636363636364,1.1785714285714286,44,28,28
clique,0.0,0,848,1812,168,sage,random,808,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6363636363636364,0.8979591836734694,44,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,810,0.75,0.75,0.75,0.6363636363636364,1.1785714285714286,44,28,28
clique,0.0,0,848,1812,168,sage,grad,810,0.75,0.75,0.75,0.6363636363636364,1.1785714285714286,44,28,28
clique,0.0,0,848,1812,168,sage,random,810,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.6363636363636364,0.8418367346938775,44,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,824,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.717948717948718,0.8456632653061223,39,28,28
clique,0.0,0,848,1812,168,sage,grad,824,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.717948717948718,1.1441326530612244,39,28,28
clique,0.0,0,848,1812,168,sage,random,824,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.717948717948718,0.9451530612244898,39,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,806,0.75,0.75,0.75,0.717948717948718,1.0446428571428572,39,28,28
clique,0.0,0,848,1812,168,sage,grad,806,0.75,0.75,0.75,0.717948717948718,1.0446428571428572,39,28,28
clique,0.0,0,848,1812,168,sage,random,806,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.717948717948718,0.8954081632653061,39,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,804,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6829268292682927,0.9936224489795918,41,28,28
clique,0.0,0,848,1812,168,sage,grad,804,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6829268292682927,0.9936224489795918,41,28,28
clique,0.0,0,848,1812,168,sage,random,804,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.6829268292682927,0.784438775510204,41,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,805,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.29473684210526313,1.3329081632653061,95,28,28
clique,0.0,0,848,1812,168,sage,grad,805,0.75,0.75,0.75,0.29473684210526313,2.544642857142857,95,28,28
clique,0.0,0,848,1812,168,sage,random,805,0.25,0.25,0.25,0.29473684210526313,0.8482142857142858,95,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,809,0.75,0.75,0.75,0.717948717948718,1.0446428571428572,39,28,28
clique,0.0,0,848,1812,168,sage,grad,809,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.717948717948718,0.9948979591836735,39,28,28
clique,0.0,0,848,1812,168,sage,random,809,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.717948717948718,0.8954081632653061,39,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,816,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6363636363636364,0.9540816326530611,44,28,28
clique,0.0,0,848,1812,168,sage,grad,816,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6363636363636364,1.0102040816326532,44,28,28
clique,0.0,0,848,1812,168,sage,random,816,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6363636363636364,0.8979591836734694,44,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,807,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6829268292682927,0.9936224489795918,41,28,28
clique,0.0,0,848,1812,168,sage,grad,807,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6829268292682927,0.9936224489795918,41,28,28
clique,0.0,0,848,1812,168,sage,random,807,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6829268292682927,1.0459183673469388,41,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,829,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.717948717948718,0.8456632653061223,39,28,28
clique,0.0,0,848,1812,168,sage,grad,829,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.717948717948718,1.094387755102041,39,28,28
clique,0.0,0,848,1812,168,sage,random,829,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.717948717948718,1.094387755102041,39,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,830,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.3181818181818182,1.2346938775510203,88,28,28
clique,0.0,0,848,1812,168,sage,grad,830,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.3181818181818182,2.4693877551020407,88,28,28
clique,0.0,0,848,1812,168,sage,random,830,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3181818181818182,0.8979591836734694,88,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,837,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7,1.0204081632653061,40,28,28
clique,0.0,0,848,1812,168,sage,grad,837,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.7,0.9693877551020409,40,28,28
clique,0.0,0,848,1812,168,sage,random,837,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.7,0.9693877551020409,40,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,847,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6511627906976745,0.9323979591836733,43,28,28
clique,0.0,0,848,1812,168,sage,grad,847,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6511627906976745,0.9323979591836733,43,28,28
clique,0.0,0,848,1812,168,sage,random,847,0.5,0.5,0.5,0.6511627906976745,0.7678571428571428,43,28,28
