,,,,,,precision,precision,random_expectation,random_expectation,lift,lift,n_candidates,n_candidates,n_relevant,n_relevant
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std
topology,camouflage,model,explainer,detected,k_mode,,,,,,,,,,
bipartite,0.5,gcn,gnnexplainer,0,k3,0.193,0.2792,0.2787,0.0949,0.5296,0.7473,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,gnnexplainer,0,k5,0.2632,0.2671,0.2787,0.0949,0.748,0.7176,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,gnnexplainer,0,oracle,0.3059,0.1486,0.2787,0.0949,1.1667,0.8147,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,gnnexplainer,1,k1,0.4,0.4919,0.2528,0.0824,1.7088,2.4655,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,gnnexplainer,1,k10,0.3376,0.159,0.2528,0.0824,1.5073,1.0537,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,gnnexplainer,1,k20,0.3656,0.0983,0.2528,0.0824,1.6283,0.8143,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,gnnexplainer,1,k3,0.344,0.3021,0.2528,0.0824,1.5154,1.6777,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,gnnexplainer,1,k5,0.344,0.2223,0.2528,0.0824,1.5391,1.4156,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,gnnexplainer,1,oracle,0.3655,0.1143,0.2528,0.0824,1.6208,0.8763,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,grad,0,k1,0.1579,0.3746,0.2787,0.0949,0.5329,1.2855,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,grad,0,k10,0.3316,0.0478,0.2787,0.0949,1.4309,0.8835,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,grad,0,k20,0.3184,0.065,0.2787,0.0949,1.3365,0.7448,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,grad,0,k3,0.3684,0.1529,0.2787,0.0949,1.7061,1.5642,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,grad,0,k5,0.3895,0.1243,0.2787,0.0949,1.6967,1.3565,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,grad,0,oracle,0.3191,0.0621,0.2787,0.0949,1.3719,0.8701,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,grad,1,k1,0.48,0.5016,0.2528,0.0824,2.2062,2.7226,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,grad,1,k10,0.364,0.1019,0.2528,0.0824,1.6516,0.9278,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,grad,1,k20,0.338,0.0839,0.2528,0.0824,1.5336,0.8046,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,grad,1,k3,0.5227,0.2481,0.2528,0.0824,2.4239,1.5863,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,grad,1,k5,0.4624,0.1674,0.2528,0.0824,2.1231,1.2395,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,grad,1,oracle,0.3432,0.0907,0.2528,0.0824,1.5624,0.8678,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,ig,0,k1,0.8421,0.3746,0.2787,0.0949,3.3651,2.2487,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,ig,0,k10,0.4368,0.0831,0.2787,0.0949,1.8717,1.1182,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,ig,0,k20,0.3605,0.0826,0.2787,0.0949,1.5454,0.9431,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,ig,0,k3,0.7193,0.1672,0.2787,0.0949,3.0559,1.8725,68.8421,38.015,16.0,0.0
